facility_id,facility_name,address,city,state,zip_code,county,telephone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_birthing_friendly_designation,hospital_overall_rating,hospital_overall_rating_footnote,mort_group_measure_count,count_of_facility_mort_measures,count_of_mort_measures_better,count_of_mort_measures_no_different,count_of_mort_measures_worse,mort_group_footnote,safety_group_measure_count,count_of_facility_safety_measures,count_of_safety_measures_better,count_of_safety_measures_no_different,count_of_safety_measures_worse,safety_group_footnote,readm_group_measure_count,count_of_facility_readm_measures,count_of_readm_measures_better,count_of_readm_measures_no_different,count_of_readm_measures_worse,readm_group_footnote,pt_exp_group_measure_count,count_of_facility_pt_exp_measures,pt_exp_group_footnote,te_group_measure_count,count_of_facility_te_measures,te_group_footnote
2014.0,Bassett ACH (FT Wainwright),4076 Neely Rd,Fort Wainwright,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22
5027.0,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,3,,7,5,2,3,0,,8,4,0,4,0,,11,6,0,6,0,,8,8,,12,6,
6005.0,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,7,5,2,3,0,,8,4,0,4,0,,11,6,2,4,0,,8,8,,12,6,
10009.0,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,(727) 398-6661,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,3,,7,5,1,4,0,,8,4,0,4,0,,11,6,0,3,3,,8,8,,12,6,
10022.0,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,Acute Care Hospitals,Proprietary,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5,12,6,
10044.0,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,(205) 921-6200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,2,2,0,,8,Not Available,5,12,8,
10059.0,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,(256) 974-2200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5,12,6,
10083.0,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,(251) 949-3400,Acute Care Hospitals,Proprietary,Yes,Y,4,,7,6,0,6,0,,8,6,2,4,0,,11,8,2,6,0,,8,8,,12,12,
10099.0,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,(251) 867-8061,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,12,9,
10113.0,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,(251) 435-4700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,6,1,,8,8,1,6,1,,11,11,0,10,1,,8,8,,12,10,
10138.0,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,4,
10169.0,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,(251) 368-2500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,8,
11300.0,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,(251) 847-2223,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5,12,3,
13300.0,THE CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,(205) 939-9100,Childrens,Voluntary non-profit - Private,Yes,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19
14014.0,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,MOBILE,(251) 661-0153,Psychiatric,Voluntary non-profit - Other,Yes,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19
17002.0,Irwin ACH (FT Riley),650 Huebner Rd,Fort Riley,KS,66442,GEARY,(785) 239-7000,Acute Care - Department of Defense,Department of Defense,Yes,,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,Not Available,22,Not Available,Not Available,22
20001.0,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,(907) 562-2211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,7,7,0,5,2,,8,8,2,6,0,,11,11,1,9,1,,8,8,,12,9,
21010.0,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,(410) 642-2411,Acute Care - Veterans Administration,Veterans Health Administration,No,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,Not Available,5
21310.0,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,(907) 442-3321,Critical Access Hospitals,Tribal,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,2,
23012.0,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD.,BATTLE CREEK,MI,49037,CALHOUN,(269) 966-5600,Acute Care - Veterans Administration,Veterans Health Administration,No,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,3,
26004.0,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,(816) 861-4700,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,,7,5,2,3,0,,8,4,0,4,0,,11,6,1,5,0,,8,8,,12,5,
30006.0,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,(520) 324-1399,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,6,1,,8,8,2,5,1,,11,11,0,8,3,,8,8,,12,10,
30024.0,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,(602) 406-8225,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,7,7,0,7,0,,8,6,2,3,1,,11,10,0,10,0,,8,8,,12,11,
30065.0,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,MARICOPA,(480) 412-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,8,0,7,1,,8,8,,12,10,
30088.0,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,(480) 321-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,5,0,4,1,,8,6,1,5,0,,11,8,0,8,0,,8,8,,12,10,
30110.0,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,(623) 882-1970,Acute Care Hospitals,Proprietary,Yes,Y,2,,7,6,0,6,0,,8,6,1,5,0,,11,7,0,7,0,,8,8,,12,9,
30123.0,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,MARICOPA,(480) 324-7001,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4,,7,6,1,5,0,,8,7,0,6,1,,11,8,0,8,0,,8,8,,12,9,
30153.0,EAST VALLEY ER & HOSPITAL,5656 SOUTH POWER RD,GILBERT,AZ,85295,MARICOPA,(713) 660-0557,Acute Care Hospitals,Proprietary,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,2,
31308.0,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,(520) 562-3321,Critical Access Hospitals,Government - Federal,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,2,
31320.0,SAN CARLOS APACHE HEALTHCARE CORPORATION,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,(928) 475-1200,Critical Access Hospitals,Tribal,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5,8,Not Available,5,12,2,
33024.0,SYRACUSE VA MEDICAL CENTER,800 IRVING AVE.,SYRACUSE,NY,13210,ONONDAGA,(315) 425-4400,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,2,,7,5,0,5,0,,8,4,0,3,1,,11,6,0,4,2,,8,8,,12,4,
34020.0,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,"1201 SOUTH 7TH AVENUE, SUITE 200",PHOENIX,AZ,85007,MARICOPA,(623) 236-2000,Psychiatric,Proprietary,No,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,19,Not Available,Not Available,19
